Country,LifeExpectancy,AdultMortality,InfantDeaths,HepatitisB,BMI,Continent
Ukraine,71.3,195,4,22,61.3,Europe
United Arab Emirates,77.1,75,1,99,64.2,Asia
United Kingdom,81.2,69,3,,66.6,Europe
Tanzania,61.8,279,85,98,23.8,Africa
United States of America,79.3,13,23,92,69.6,North America
Uruguay,77,116,0,95,64,South America
Uzbekistan,69.4,184,15,99,44.7,Asia
Vanuatu,72,13,0,64,53.3,Oceania
Venezuela,74.1,157,9,87,62.1,South America
Vietnam,76,127,28,97,17.5,Asia
Yemen,65.7,224,37,69,41.3,Asia
Zambia,61.8,33,27,9,23.4,Africa
Zimbabwe,67,336,22,87,31.8,Africa
,,,,,,
